ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,trans_depth,method,host,uri,version,user_agent,request_body_len,response_body_len,status_code,status_msg,tags,resp_fuids,resp_mime_types,orig_fuids,orig_mime_types,referrer,resp_filenames,podejrzany_user_agent,podejrzany_uri
1425567244.303713,ClMoJN3H1jMBuvt2o,192.168.0.51,50670,192.168.0.1,80,1,GET,192.168.0.1,/wps.js,1.1,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:33.0) Gecko/20100101 Firefox/33.0,0,1460,200.0,OK,[],['FxoxxGWwWCatPBXri'],['text/plain'],,,http://192.168.0.1/wanst.htm,,Nie,Nie
1425567244.303713,Cn1e2v2QWWxoa6FXJ3,192.168.0.51,50671,192.168.0.1,80,1,GET,192.168.0.1,/ssetup_us.js?rc=1425567244097,1.1,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:33.0) Gecko/20100101 Firefox/33.0,0,1460,200.0,OK,[],['Fo7WRx3vNfisLNbCw1'],,,,http://192.168.0.1/wanst.htm,,Nie,Nie
1425567244.479097,CL4fMh3Sy9lucJD6ld,192.168.0.51,50674,192.168.0.1,80,1,GET,192.168.0.1,/log/out?rd=/uir/wanst.htm&ZT=1425567244495,1.1,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:33.0) Gecko/20100101 Firefox/33.0,0,0,303.0,,[],,,,,http://192.168.0.1/wanst.htm,,Nie,Nie
1425567244.484683,C6nnwB1Q53kubAY4jg,192.168.0.51,50675,192.168.0.1,80,1,GET,192.168.0.1,/uir/wanst.htm?Nrc=1&ZT=1425567244495,1.1,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:33.0) Gecko/20100101 Firefox/33.0,0,2999,200.0,OK,[],['FcpTAL3nspzyE9i8c3'],['text/html'],,,http://192.168.0.1/wanst.htm,,Nie,Nie
1425567244.494829,C3GVPa1Twi8UHw5W8f,192.168.0.51,50676,192.168.0.1,80,1,GET,192.168.0.1,/uir/func.js,1.1,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:33.0) Gecko/20100101 Firefox/33.0,0,481,200.0,OK,[],['FRM6Ne4mRe9hSLXNd2'],['text/plain'],,,http://192.168.0.1/uir/wanst.htm?Nrc=1&ZT=1425567244495,,Nie,Nie
1425567244.495169,CwwJu62qMDDNXISS1,192.168.0.51,50677,192.168.0.1,80,1,GET,192.168.0.1,/uir/lang.js,1.1,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:33.0) Gecko/20100101 Firefox/33.0,0,1460,200.0,OK,[],['F1QDIVOnLbKk9Urfj'],['text/plain'],,,http://192.168.0.1/uir/wanst.htm?Nrc=1&ZT=1425567244495,,Nie,Nie
1425567244.49546,CSYVYz2KyR6McmFaje,192.168.0.51,50678,192.168.0.1,80,1,GET,192.168.0.1,/uir/ui.js,1.1,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:33.0) Gecko/20100101 Firefox/33.0,0,1460,200.0,OK,[],['F7iB4q3m8KICpjrw4'],['text/plain'],,,http://192.168.0.1/uir/wanst.htm?Nrc=1&ZT=1425567244495,,Nie,Nie
1425567244.49668,C3nT3E4BOFLq6sW9be,192.168.0.51,50681,192.168.0.1,80,1,GET,192.168.0.1,/uir/dirb0.js,1.1,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:33.0) Gecko/20100101 Firefox/33.0,0,1460,200.0,OK,[],['F6sznA4DsMOS1C4cU7'],['text/plain'],,,http://192.168.0.1/uir/wanst.htm?Nrc=1&ZT=1425567244495,,Nie,Nie
1425567244.508574,CDlZ2y2ha7epAhDQ41,192.168.0.51,50682,192.168.0.1,80,1,GET,192.168.0.1,/uir/dira0.js,1.1,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:33.0) Gecko/20100101 Firefox/33.0,0,1460,200.0,OK,[],['FGd22e4g7UppLk4ql'],['text/plain'],,,http://192.168.0.1/uir/wanst.htm?Nrc=1&ZT=1425567244495,,Nie,Nie
1425567244.516129,CjQQBf1ArkFYTNJvP,192.168.0.51,50683,192.168.0.1,80,1,GET,192.168.0.1,/uir/daj.js,1.1,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:33.0) Gecko/20100101 Firefox/33.0,0,2698,200.0,OK,[],['F3BLPu1sSkQHMC1ZZ9'],['text/plain'],,,http://192.168.0.1/uir/wanst.htm?Nrc=1&ZT=1425567244495,,Nie,Nie
