ts,fuid,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,source,depth,analyzers,duration,local_orig,is_orig,seen_bytes,missing_bytes,overflow_bytes,timedout,total_bytes,mime_type,filename,podejrzany_typ
1428910967.597813,FYwVyu12XQxiXF70ph,Ck7pti4XP3dl5xphL6,61.160.195.10,4559,192.168.0.2,80,HTTP,0,[],0.0,True,False,207,0,0,False,207.0,text/html,,Nie
1428910969.51714,FsmQJW3VPDuh3hPRCl,Ck7pti4XP3dl5xphL6,61.160.195.10,4559,192.168.0.2,80,HTTP,0,[],0.0,True,False,203,0,0,False,203.0,text/html,,Nie
1428910969.990855,FJldsG3glZDmkvlbW7,Ck7pti4XP3dl5xphL6,61.160.195.10,4559,192.168.0.2,80,HTTP,0,[],0.0,True,False,208,0,0,False,208.0,text/html,,Nie
1428910970.477636,FGMQH2n2Nbx7BOaa5,Ck7pti4XP3dl5xphL6,61.160.195.10,4559,192.168.0.2,80,HTTP,0,[],0.0,True,False,207,0,0,False,207.0,text/html,,Nie
1428910972.397752,FxYeBkKEWUMn2ihO7,Ck7pti4XP3dl5xphL6,61.160.195.10,4559,192.168.0.2,80,HTTP,0,[],0.0,True,False,208,0,0,False,208.0,text/html,,Nie
1428910975.917288,FguQKN1XvWeSoK0AIj,Ck7pti4XP3dl5xphL6,61.160.195.10,4559,192.168.0.2,80,HTTP,0,[],0.0,True,False,203,0,0,False,203.0,text/html,,Nie
1428910976.557065,FXNMK84NACCsUJ0D78,Ck7pti4XP3dl5xphL6,61.160.195.10,4559,192.168.0.2,80,HTTP,0,[],0.0,True,False,207,0,0,False,207.0,text/html,,Nie
1428910977.1978,F26D7k2jbEs3X9s9xh,Ck7pti4XP3dl5xphL6,61.160.195.10,4559,192.168.0.2,80,HTTP,0,[],0.0,True,False,207,0,0,False,207.0,text/html,,Nie
1428910977.837539,FDzF8L13rMui3XfQCd,Ck7pti4XP3dl5xphL6,61.160.195.10,4559,192.168.0.2,80,HTTP,0,[],0.0,True,False,204,0,0,False,204.0,text/html,,Nie
1428911006.157145,FMCj2D1ddos2tUIdig,CMuwCBrlALFQ5XOkf,61.160.195.10,3882,192.168.0.2,80,HTTP,0,[],0.0,True,False,207,0,0,False,207.0,text/html,,Nie
1428911032.2372,F2uFsq3UJGnvO7BJR2,CDIZ1B2UdG7Ai4tmFg,61.160.195.10,2894,192.168.0.2,80,HTTP,0,[],0.0,True,False,212,0,0,False,212.0,text/html,,Nie
1428911034.156866,FE0uXs38gRqoCdXy5d,CDIZ1B2UdG7Ai4tmFg,61.160.195.10,2894,192.168.0.2,80,HTTP,0,[],0.0,True,False,205,0,0,False,205.0,text/html,,Nie
