ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,kategoria,long_duration,large_transfer,resp_p,kategoria_portu,abuse_score_orig_h,abuse_score_resp_h
1428883308.899044,CPjITe2PMswicwlD9k,gAAAAABnVyhgaEDnJ6WP4VWRoHNz5ojiTwRc_rLXasYo5zmjPdcrabx9gyfIJKS4BG4oSWa2rvDx55WVsGgiIeXO8nExh076TQ==,10239,gAAAAABnVyhgarkGfOvVNxF8JKRmzoDqqN5lfdB0GYnznz9hHyJ0IpmNEPREoI2JVlCShjE2DeIzvVw9sL8AwiSsVVvxVfCmTA==,53,udp,dns,0.06692790985107401,33.0,108.0,SF,True,True,0,Dd,1,61,1,136,Zewnetrzne,Nie,Nie,53,Standardowy,Brak API,Brak API
1428883226.025185,CMfJhY9wxVrx4Zi54,gAAAAABnVyhgzj-LCpHgAosnqxnOV0E9DCapdO4u1kXsiE7eOkPpNIKj0LF2OOHP9ea7MgzJL4b9BBK-RZFnSBeuwB8Vs9nrTw==,52355,gAAAAABnVyhgePD2CjCXDw1FtZrAb17Y6fTDNxUZofQpwRkn-p6__cBucUANoyCNcJ3wEQa_RHnHXtN6pqeScTjrzOYK0MvWug==,443,tcp,,109.53764200210571,1.0,0.0,SF,True,False,0,DaTfAFr,5,203,5,236,Zewnetrzne,Tak,Nie,443,Standardowy,Brak API,Brak API
1428883226.0252,C3xQsX1nTV8R81nw0f,gAAAAABnVyhgKwwqGx00NKSl6FSv0q9GYhuPRCme_FcNaojBzRhgs_WrchrKizrztgX8ABIEg6lTz-USRHh-cl3XJ1gkI5Guyw==,52356,gAAAAABnVyhgnR0ND6puxH8d5dV7y4kR3FuwweBK7V2cRbSrHWjwOabo7zZc4MdZ8Qa0ZjoHkplOpNivLufXfR8F0NYqFqOkTQ==,443,tcp,,109.53764414787292,1.0,0.0,SF,True,False,0,DaTfAFr,5,203,5,236,Zewnetrzne,Tak,Nie,443,Standardowy,Brak API,Brak API
1428883334.442257,C3vh8kjsF3YcSrnmf,gAAAAABnVyhgHl6slI3zF-cLBNjXa2ly_MhunVl0i7BmX2-aTU4cEiu-hTaCQFY8G_V_YvgmJGm_bZyBAUlKW_oi_R6YKnLWjQ==,57409,gAAAAABnVyhg1ldPZGGRR0x98DtUoUlRLTMTLqWS0wk14rcd880xvHBmALni0O31BNouCvG9eisPkxypmCBPC-VaP5hjYInvgQ==,53,udp,dns,0.0016250610351560002,32.0,112.0,SF,True,True,0,Dd,1,60,1,140,Zewnetrzne,Nie,Nie,53,Standardowy,Brak API,Brak API
1428883241.967116,CE1KgQkVR11IJB2Vi,gAAAAABnVyhgzjgT9ZoAWJs_fvi8wbONlwxo98fYEBR7-BMa-yMyzIURiC76gsffYRhBsbpyZw8qwxFZE3DSET9lJGOjMhao1Q==,52357,gAAAAABnVyhgto1xhccMk26CMXQvqINlsakEK8Zx6f0aFxLyZg345ijy97FEozb-aUWKBTchXXU88Z3ryaYLkbgqDf-_Knpl1w==,443,tcp,,113.59872078895569,1.0,0.0,SF,True,False,0,DaTfAFr,6,243,6,276,Zewnetrzne,Tak,Nie,443,Standardowy,Brak API,Brak API
1428883359.350198,CjQxnT3wCc3R0NMnQ2,gAAAAABnVyhg_9QkxMgWrlc101tbxdXEg8rvLmdgr5JZJYQUp-8oGmUsl1W4HVr8wwOTHSZ3cPMq5PPL-IDNbzg-rvZ8ebrrrw==,138,gAAAAABnVyhgzVWC1n7i7jhTJUM--8jnoK6ere7unGWzsrgyKeHZuW1_PSw_Y2toRTiJmxRpb-O4tSne94tLbABibxhlgZLRVA==,138,udp,,,,,S0,True,True,0,D,1,246,0,0,Zewnetrzne,Nie,Nie,138,Standardowy,Brak API,Brak API
1428883442.155859,Cv27M71TSG580eoq62,gAAAAABnVyhgf1v-J3-AhFPblC_mM2rxd7_EzHkX391oRaQWoxshFoxkrfkJlY4yzO-kmxjXZLEanMS68_KKT4bhqo21qModIQ==,52361,gAAAAABnVyhgbiYMJsAeK_ly-5Am5zP6RzSjyDcCt5sAkQ_Xjjvb45AT_tJ8vyHbUgOoUG8qkPBP8OrRZFbuYZRDa7FTARaYcQ==,80,tcp,http,0.43264389038085904,320.0,972.0,SF,True,False,0,ShADadfF,5,532,5,1180,Zewnetrzne,Nie,Tak,80,Standardowy,Brak API,Brak API
1428883493.760926,CUDht33JPuom54Rjh8,gAAAAABnVyhgigZyy-CSZqQX3uL__yNBOgTYsJ4RXpVvJ4ddOv9gXjCiDEM00stNkjmt5BWI4qWP_8gqPX71oXUeZ3Krm2HrGw==,4616,gAAAAABnVyhgPyM8WfFMnjKKq_R-forDs6q3VxKYyc_Vv3eFJ0FEU4-04ClPODi0q8W2HcAcP5PE5qmmygWdNNhf5L8ed8gJCQ==,53,udp,dns,0.0016090869903560001,34.0,74.0,SF,True,True,0,Dd,1,62,1,102,Zewnetrzne,Nie,Nie,53,Standardowy,Brak API,Brak API
1428883248.407343,Cf83xG3Ae85i4lIVOk,gAAAAABnVyhgw_pbM64Vr_jw50MOTOOuEHcpv3SOOR9_A4fLc6iiKoN_wCK76AZfRYfiI7UPXvmW_7ZwCgPp_HbzpT154Xi50A==,52285,gAAAAABnVyhgQaJ8cFW3gIpiZ0ppqOGUMPfwP3kf-B9bNAPvY_G85FowJmnYIff0gsRZPIxVMmfshsUeFGQJf-0FNMY_2-II9Q==,443,tcp,,266.961079120636,10331.0,11238.0,SF,True,False,0,DadATtfF,27,11427,38,12894,Zewnetrzne,Tak,Tak,443,Standardowy,Brak API,Brak API
1428883515.447108,CSqMHuDVXuWd5mdG8,gAAAAABnVyhgPnssZCAkvQOt6u42YvAJvRujxsOLnhWcrsSUSGRQMhq6kose3mPkhT4j1eVbDcpF3Revyu--DPNjAHbkUUO_zg==,60071,gAAAAABnVyhgnQ9l8Besd5RZCiAH3WTyM2V9tihop_u75VxgtLOjZTCgm2r9vKrWxhbkeI1elKgf2q4mIlPyMXwFp8yiaW6JVg==,53,udp,dns,0.0015299320220940001,35.0,184.0,SF,True,True,0,Dd,1,63,1,212,Zewnetrzne,Nie,Nie,53,Standardowy,Brak API,Brak API
